bill_number,bill_date,customer_name,service_name,staff_name,customer_id,staff_id,service_id,service_category,service_cost
144,1/21/2017,Sylvia Yersin,Hair Cut,Jackie Leggate,1168,52,3,STYLE,100
145,1/21/2017,Lura Stellino,Blowdry + style,Cristine Bosman,1025,51,2,STYLE,50
146,1/22/2017,Shara Garey,Hair Cut,Ralina Pollicatt,1004,54,3,STYLE,100
147,1/22/2017,Patin Crowd,Color full color,June Pynn,1100,53,1,COLOR,200
148,1/22/2017,Claudelle Jarritt,Hair Spa,Munroe Cumes,1083,55,4,STYLE,200
149,1/23/2017,Alexandro Wheatcroft,Shaving,Munroe Cumes,1130,55,6,STYLE,100
150,1/23/2017,Susanetta Petzold,Blowdry + style,Cristine Bosman,1001,51,2,STYLE,50
151,1/23/2017,Claudelle Jarritt,Hair Spa,Ralina Pollicatt,1083,54,4,STYLE,200
152,1/24/2017,Holden Ventum,Hair Cut,Cristine Bosman,1112,51,3,STYLE,100
153,1/24/2017,Alexandro Wheatcroft,Hair Spa,Ralina Pollicatt,1130,54,4,STYLE,200
154,1/24/2017,Amity Chisholm,Shaving,Jackie Leggate,1139,52,6,STYLE,100
155,1/24/2017,Boycey Robart,Blowdry + style,Jackie Leggate,1077,52,2,STYLE,50
156,1/24/2017,Quint Flear,Color full color,Jackie Leggate,1050,52,1,COLOR,200
157,1/24/2017,Ramsay Thome,Shampoo,Dayle Pfeffle,1015,56,5,STYLE,100
158,1/24/2017,Wheeler Human,Blowdry + style,Munroe Cumes,1058,55,2,STYLE,50
159,1/25/2017,Konstantin Carillo,Shampoo,Cristine Bosman,1063,51,5,STYLE,100
160,1/25/2017,Drusy Saurat,Hair Cut,Jackie Leggate,1118,52,3,STYLE,100
161,1/25/2017,Calhoun Cutteridge,Blowdry + style,Ralina Pollicatt,1110,54,2,STYLE,50
162,1/27/2017,Aleksandr Branford,Blowdry + style,Dayle Pfeffle,1022,56,2,STYLE,50
163,1/28/2017,Drusy Saurat,Shaving,Cloris Dudeney,1118,57,6,STYLE,100
164,1/28/2017,Domini Kintish,Shaving,June Pynn,1056,53,6,STYLE,100
165,1/29/2017,Claudelle Jarritt,Hair Cut,June Pynn,1083,53,3,STYLE,100
166,1/29/2017,Pierce Hryskiewicz,Hair Spa,Dayle Pfeffle,1067,56,4,STYLE,200
167,1/30/2017,Laney Pontain,Shaving,Ralina Pollicatt,1124,54,6,STYLE,100
168,1/30/2017,Leanor McAuslene,Hair Cut,Jackie Leggate,1080,52,3,STYLE,100
169,1/31/2017,Starlene Rubinshtein,Color full color,Ralina Pollicatt,1040,54,1,COLOR,200
170,1/31/2017,Francine Kunkler,Hair Cut,Ralina Pollicatt,1089,54,3,STYLE,100
171,02-01-2017,Umberto Gotecliffe,Hair Spa,June Pynn,1147,53,4,STYLE,200
172,02-01-2017,Heddie Chatainier,Shaving,June Pynn,1038,53,6,STYLE,100
173,02-01-2017,Hamnet Sacase,Blowdry + style,Cloris Dudeney,1071,57,2,STYLE,50
174,02-02-2017,Hamnet Sacase,Hair Spa,Dayle Pfeffle,1071,56,4,STYLE,200
175,02-02-2017,Walton Hulse,Blowdry + style,Cloris Dudeney,1052,57,2,STYLE,50
176,02-02-2017,Robinett Dawidsohn,Hair Cut,Jackie Leggate,1072,52,3,STYLE,100
177,02-02-2017,Nathanael Grigoliis,Hair Spa,Dayle Pfeffle,1136,56,4,STYLE,200
178,02-02-2017,Domini Kintish,Blowdry + style,Cristine Bosman,1056,51,2,STYLE,50
179,02-02-2017,Gabriell Ballham,Shampoo,Munroe Cumes,1070,55,5,STYLE,100
180,02-03-2017,Klement Arnaudot,Blowdry + style,Jackie Leggate,1043,52,2,STYLE,50
181,02-03-2017,Arleta Corss,Shaving,Cloris Dudeney,1170,57,6,STYLE,100
182,02-03-2017,Isiahi Fowgies,Color full color,Dayle Pfeffle,1125,56,1,COLOR,200
183,02-04-2017,Sharline Pawlicki,Hair Cut,June Pynn,1059,53,3,STYLE,100
184,02-04-2017,Pierce Hryskiewicz,Shampoo,Dayle Pfeffle,1067,56,5,STYLE,100
185,02-05-2017,King Harsent,Blowdry + style,June Pynn,1157,53,2,STYLE,50
186,02-05-2017,Hi Gregori,Blowdry + style,Jackie Leggate,1069,52,2,STYLE,50
187,02-05-2017,Sylvia Yersin,Blowdry + style,Jackie Leggate,1168,52,2,STYLE,50
188,02-05-2017,Aleksandr Branford,Shampoo,June Pynn,1022,53,5,STYLE,100
189,02-06-2017,Toby Shiliton,Color full color,Munroe Cumes,1062,55,1,COLOR,200
190,02-06-2017,Royce Bowater,Hair Spa,Cloris Dudeney,1017,57,4,STYLE,200
191,02-06-2017,Conny Matveichev,Blowdry + style,Cristine Bosman,1016,51,2,STYLE,50
192,02-07-2017,Francine Kunkler,Hair Spa,Munroe Cumes,1089,55,4,STYLE,200
193,02-08-2017,Eb Levay,Shampoo,Cloris Dudeney,1092,57,5,STYLE,100
194,02-08-2017,Charo Jermey,Color full color,Cloris Dudeney,1128,57,1,COLOR,200
195,02-08-2017,Nonah Pavinese,Shampoo,Jackie Leggate,1104,52,5,STYLE,100
196,02-08-2017,Robinett Dawidsohn,Shaving,June Pynn,1072,53,6,STYLE,100
197,02-09-2017,Bibi Morritt,Blowdry + style,Cristine Bosman,1165,51,2,STYLE,50
198,02-09-2017,Courtenay Shyre,Shaving,Ralina Pollicatt,1114,54,6,STYLE,100
199,02-09-2017,Domini Kintish,Shampoo,Munroe Cumes,1056,55,5,STYLE,100
200,02-09-2017,Torrie Dalgarnowch,Blowdry + style,Jackie Leggate,1116,52,2,STYLE,50
201,02-09-2017,King Harsent,Blowdry + style,Cristine Bosman,1157,51,2,STYLE,50
202,02-09-2017,Archibold Woltering,Color full color,June Pynn,1145,53,1,COLOR,200
203,02-10-2017,Lonnard Hounsham,Color full color,Cristine Bosman,1078,51,1,COLOR,200
204,02-10-2017,Lotty Danbye,Shampoo,June Pynn,1119,53,5,STYLE,100
205,02-10-2017,Gerta Willmetts,Blowdry + style,Dayle Pfeffle,1158,56,2,STYLE,50
206,02-10-2017,Bevon De Carolis,Shaving,Jackie Leggate,1144,52,6,STYLE,100
207,02-11-2017,Gabie Smalls,Color full color,June Pynn,1086,53,1,COLOR,200
208,02-11-2017,Ilysa Hansen,Hair Spa,Cloris Dudeney,1097,57,4,STYLE,200
209,02-11-2017,Nani Gravey,Color full color,Munroe Cumes,1094,55,1,COLOR,200
210,02-12-2017,Tommi Minett,Blowdry + style,Cristine Bosman,1087,51,2,STYLE,50
211,02-12-2017,Nathanael Grigoliis,Shaving,Jackie Leggate,1136,52,6,STYLE,100
212,02-12-2017,Boycey Robart,Blowdry + style,Dayle Pfeffle,1077,56,2,STYLE,50
213,02-12-2017,Torrie Dalgarnowch,Color full color,Ralina Pollicatt,1116,54,1,COLOR,200
214,2/13/2017,Natala Hammatt,Hair Spa,Cristine Bosman,1090,51,4,STYLE,200
215,2/13/2017,Web Addionisio,Hair Cut,Ralina Pollicatt,1027,54,3,STYLE,100
216,2/13/2017,Mab Limb,Shaving,June Pynn,1113,53,6,STYLE,100
217,2/13/2017,Bobinette Boothe,Shampoo,Cloris Dudeney,1088,57,5,STYLE,100
218,2/13/2017,Lurlene Cristofvao,Hair Cut,Cristine Bosman,1005,51,3,STYLE,100
219,2/13/2017,Royce Bowater,Shampoo,Jackie Leggate,1017,52,5,STYLE,100
220,2/14/2017,Trace Larenson,Hair Spa,Cristine Bosman,1026,51,4,STYLE,200
221,2/14/2017,Rollins Cosely,Blowdry + style,Dayle Pfeffle,1129,56,2,STYLE,50
222,2/15/2017,Drusy Saurat,Shampoo,Cristine Bosman,1118,51,5,STYLE,100
223,2/15/2017,Enrichetta Sircomb,Blowdry + style,Jackie Leggate,1105,52,2,STYLE,50
224,2/16/2017,Andras Sterre,Hair Spa,Ralina Pollicatt,1049,54,4,STYLE,200
225,2/16/2017,Carol-jean Blacker,Hair Spa,Munroe Cumes,1057,55,4,STYLE,200
226,2/16/2017,Laney Pontain,Shaving,Munroe Cumes,1124,55,6,STYLE,100
227,2/16/2017,Gregor Tolley,Shampoo,Jackie Leggate,1039,52,5,STYLE,100
228,2/17/2017,Lindsay Worsell,Shaving,Jackie Leggate,1133,52,6,STYLE,100
229,2/17/2017,Ezra Dudman,Shampoo,Cristine Bosman,1103,51,5,STYLE,100
230,2/17/2017,Hi Gregori,Shaving,Munroe Cumes,1069,55,6,STYLE,100
231,2/18/2017,Gilburt Marchment,Color full color,Ralina Pollicatt,1091,54,1,COLOR,200
232,2/18/2017,Carce Francklin,Color full color,Cloris Dudeney,1036,57,1,COLOR,200
233,2/18/2017,Hephzibah Orteu,Hair Cut,Munroe Cumes,1035,55,3,STYLE,100
234,2/19/2017,Dav Uccelli,Hair Cut,Cristine Bosman,1149,51,3,STYLE,100
235,2/20/2017,Francine Kunkler,Hair Spa,Dayle Pfeffle,1089,56,4,STYLE,200
236,2/20/2017,Gabbi Bagshaw,Blowdry + style,Munroe Cumes,1106,55,2,STYLE,50
237,2/22/2017,Elroy Evered,Color full color,June Pynn,1150,53,1,COLOR,200
238,2/22/2017,Rubie Kremer,Hair Spa,Jackie Leggate,1160,52,4,STYLE,200
239,2/22/2017,Archibold Woltering,Blowdry + style,Cristine Bosman,1145,51,2,STYLE,50
240,2/23/2017,Hinda Duddell,Blowdry + style,June Pynn,1115,53,2,STYLE,50
241,2/24/2017,Stanley Wheelband,Color full color,Munroe Cumes,1120,55,1,COLOR,200
242,2/25/2017,Audrie Quickfall,Hair Cut,June Pynn,1169,53,3,STYLE,100
243,2/25/2017,Patin Crowd,Blowdry + style,Cristine Bosman,1100,51,2,STYLE,50
244,2/25/2017,Holden Ventum,Shampoo,June Pynn,1112,53,5,STYLE,100
245,2/25/2017,Nathanael Grigoliis,Shaving,Cristine Bosman,1136,51,6,STYLE,100
246,2/25/2017,Heddie Chatainier,Hair Spa,Jackie Leggate,1038,52,4,STYLE,200
247,2/25/2017,Sigvard Sheahan,Blowdry + style,Cristine Bosman,1126,51,2,STYLE,50
248,2/25/2017,Pavia Maynard,Shampoo,Cloris Dudeney,1166,57,5,STYLE,100
249,2/25/2017,Amabel Yanez,Shaving,June Pynn,1084,53,6,STYLE,100
250,2/26/2017,Lotty Danbye,Color full color,Jackie Leggate,1119,52,1,COLOR,200
251,2/26/2017,Oby Downey,Blowdry + style,Cristine Bosman,1107,51,2,STYLE,50
252,2/26/2017,Wheeler Human,Shampoo,Dayle Pfeffle,1058,56,5,STYLE,100
253,2/27/2017,Gabie Smalls,Hair Cut,Munroe Cumes,1086,55,3,STYLE,100
254,2/28/2017,Stanley Wheelband,Color full color,Cloris Dudeney,1120,57,1,COLOR,200
255,03-01-2017,Don Giorio,Shaving,Jackie Leggate,1167,52,6,STYLE,100
256,03-02-2017,Holden Ventum,Hair Spa,June Pynn,1112,53,4,STYLE,200
257,03-02-2017,Amity Chisholm,Shampoo,Jackie Leggate,1139,52,5,STYLE,100
258,03-02-2017,Mari Clifford,Shampoo,Cloris Dudeney,1101,57,5,STYLE,100
259,03-04-2017,Egon Waistell,Shaving,June Pynn,1121,53,6,STYLE,100
260,03-04-2017,Carce Francklin,Shampoo,June Pynn,1036,53,5,STYLE,100
261,03-04-2017,Mab Limb,Shampoo,Dayle Pfeffle,1113,56,5,STYLE,100
262,03-04-2017,Ken Simonot,Shampoo,Cristine Bosman,1075,51,5,STYLE,100
263,03-05-2017,Ara Maykin,Shampoo,Munroe Cumes,1161,55,5,STYLE,100
264,03-05-2017,Suki Ebbers,Shampoo,Cloris Dudeney,1021,57,5,STYLE,100
265,03-05-2017,Boycey Robart,Hair Spa,Jackie Leggate,1077,52,4,STYLE,200
266,03-06-2017,Toby MacDwyer,Color full color,Cristine Bosman,1122,51,1,COLOR,200
267,03-06-2017,Tommi Minett,Hair Spa,Cloris Dudeney,1087,57,4,STYLE,200
268,03-06-2017,Sayer McClay,Blowdry + style,Ralina Pollicatt,1019,54,2,STYLE,50
269,03-06-2017,Sindee Chevins,Hair Spa,Dayle Pfeffle,1127,56,4,STYLE,200
270,03-06-2017,Bibi Morritt,Shampoo,Cristine Bosman,1165,51,5,STYLE,100
271,03-07-2017,Web Addionisio,Shampoo,Jackie Leggate,1027,52,5,STYLE,100
272,03-07-2017,Natala Hammatt,Shampoo,Munroe Cumes,1090,55,5,STYLE,100
273,03-09-2017,Isiahi Fowgies,Blowdry + style,Cloris Dudeney,1125,57,2,STYLE,50
274,03-09-2017,Ilysa Hansen,Blowdry + style,Ralina Pollicatt,1097,54,2,STYLE,50
275,03-10-2017,Benjy Bewley,Blowdry + style,Jackie Leggate,1068,52,2,STYLE,50
276,03-10-2017,Carol-jean Blacker,Hair Cut,Munroe Cumes,1057,55,3,STYLE,100
277,03-10-2017,Nani Gravey,Hair Spa,Ralina Pollicatt,1094,54,4,STYLE,200
278,03-10-2017,Ara Maykin,Shampoo,Ralina Pollicatt,1161,54,5,STYLE,100
279,03-10-2017,Haleigh Mainland,Hair Spa,Cristine Bosman,1151,51,4,STYLE,200
280,03-11-2017,Rubie Kremer,Shaving,Ralina Pollicatt,1160,54,6,STYLE,100
281,03-11-2017,Eb Levay,Hair Cut,Cloris Dudeney,1092,57,3,STYLE,100
282,03-11-2017,Ewen McCaskell,Color full color,Dayle Pfeffle,1018,56,1,COLOR,200
283,03-11-2017,Dale Jonk,Color full color,June Pynn,1079,53,1,COLOR,200
284,03-12-2017,Gusta Guichard,Color full color,Cristine Bosman,1109,51,1,COLOR,200
285,03-12-2017,Stacie Klaiser,Hair Cut,Dayle Pfeffle,1164,56,3,STYLE,100
286,03-12-2017,Sylvia Yersin,Shaving,Jackie Leggate,1168,52,6,STYLE,100
287,03-12-2017,Royce Bowater,Color full color,Ralina Pollicatt,1017,54,1,COLOR,200
288,3/13/2017,Audrie Quickfall,Hair Cut,Munroe Cumes,1169,55,3,STYLE,100
289,3/13/2017,Lurlene Cristofvao,Shampoo,June Pynn,1005,53,5,STYLE,100
290,3/13/2017,Gabbi Bagshaw,Blowdry + style,Ralina Pollicatt,1106,54,2,STYLE,50
291,3/14/2017,Rosabelle Merrifield,Color full color,Cloris Dudeney,1034,57,1,COLOR,200
292,3/16/2017,Anton Mulcock,Hair Spa,Jackie Leggate,1142,52,4,STYLE,200
293,3/16/2017,Walton Hulse,Shaving,Cloris Dudeney,1052,57,6,STYLE,100
294,3/17/2017,Rosabelle Merrifield,Shaving,Cloris Dudeney,1034,57,6,STYLE,100
295,3/17/2017,Alisun Mityashin,Shampoo,June Pynn,1055,53,5,STYLE,100
296,3/17/2017,Mari Clifford,Hair Cut,Cristine Bosman,1101,51,3,STYLE,100
297,3/17/2017,Eb Levay,Hair Cut,Dayle Pfeffle,1092,56,3,STYLE,100
298,3/18/2017,Gusta Guichard,Blowdry + style,Jackie Leggate,1109,52,2,STYLE,50
299,3/18/2017,Torie Soff,Hair Spa,Ralina Pollicatt,1137,54,4,STYLE,200
300,3/18/2017,Sadella Fligg,Blowdry + style,June Pynn,1155,53,2,STYLE,50
301,3/19/2017,Ewen McCaskell,Color full color,Munroe Cumes,1018,55,1,COLOR,200
302,3/19/2017,Claudelle Jarritt,Hair Spa,Cristine Bosman,1083,51,4,STYLE,200
303,3/19/2017,Allx Ogborn,Shaving,Ralina Pollicatt,1099,54,6,STYLE,100
304,3/19/2017,Nathanael Grigoliis,Hair Cut,Ralina Pollicatt,1136,54,3,STYLE,100
305,3/20/2017,Domini Kintish,Shaving,Cristine Bosman,1056,51,6,STYLE,100
306,3/20/2017,Vida Peddie,Color full color,Cloris Dudeney,1153,57,1,COLOR,200
307,3/21/2017,Andriana Rieme,Shaving,Munroe Cumes,1006,55,6,STYLE,100
308,3/21/2017,Milt Underwood,Blowdry + style,Munroe Cumes,1134,55,2,STYLE,50
309,3/21/2017,Ezra Dudman,Shaving,Cloris Dudeney,1103,57,6,STYLE,100
310,3/21/2017,Dori Killoran,Hair Cut,June Pynn,1014,53,3,STYLE,100
311,3/22/2017,Aleece O'Fergus,Hair Cut,Jackie Leggate,1020,52,3,STYLE,100
312,3/22/2017,Robinett Dawidsohn,Blowdry + style,Munroe Cumes,1072,55,2,STYLE,50
313,3/22/2017,Tammi Covolini,Color full color,Cristine Bosman,1060,51,1,COLOR,200
314,3/23/2017,Tommi Minett,Shampoo,Jackie Leggate,1087,52,5,STYLE,100
315,3/23/2017,Hi Gregori,Blowdry + style,Jackie Leggate,1069,52,2,STYLE,50
316,3/23/2017,Anton Mulcock,Hair Spa,June Pynn,1142,53,4,STYLE,200
317,3/24/2017,Gene Gommes,Shampoo,Cloris Dudeney,1029,57,5,STYLE,100
318,3/25/2017,Trace Larenson,Shampoo,June Pynn,1026,53,5,STYLE,100
319,3/25/2017,Tobe Elstub,Color full color,Munroe Cumes,1007,55,1,COLOR,200
320,3/26/2017,Carol-jean Blacker,Hair Cut,Ralina Pollicatt,1057,54,3,STYLE,100
321,3/26/2017,Cos Maryan,Shampoo,Dayle Pfeffle,1031,56,5,STYLE,100
322,3/27/2017,Andriana Rieme,Color full color,Cristine Bosman,1006,51,1,COLOR,200
323,3/28/2017,Haleigh Mainland,Blowdry + style,June Pynn,1151,53,2,STYLE,50
324,3/28/2017,Kahaleel Roseaman,Hair Cut,Cloris Dudeney,1061,57,3,STYLE,100
325,3/28/2017,Benton Isacq,Blowdry + style,Jackie Leggate,1002,52,2,STYLE,50
326,3/29/2017,Velvet Napoli,Hair Cut,Ralina Pollicatt,1051,54,3,STYLE,100
327,3/29/2017,Dori Killoran,Hair Spa,Ralina Pollicatt,1014,54,4,STYLE,200
328,3/29/2017,Kristofer Ezzle,Shampoo,Cloris Dudeney,1045,57,5,STYLE,100
329,3/29/2017,Annadiane Tattersdill,Shampoo,Cristine Bosman,1093,51,5,STYLE,100
330,3/30/2017,Nike Risborough,Shampoo,Ralina Pollicatt,1032,54,5,STYLE,100
331,3/30/2017,Domini Kintish,Color full color,Dayle Pfeffle,1056,56,1,COLOR,200
332,3/31/2017,Ramsay Thome,Hair Cut,Ralina Pollicatt,1015,54,3,STYLE,100
333,3/31/2017,Francine Kunkler,Blowdry + style,Cloris Dudeney,1089,57,2,STYLE,50
334,3/31/2017,Sayer McClay,Shampoo,June Pynn,1019,53,5,STYLE,100
335,04-01-2017,Starlene Rubinshtein,Color full color,Jackie Leggate,1040,52,1,COLOR,200
336,04-01-2017,Bucky Kealey,Shampoo,Dayle Pfeffle,1042,56,5,STYLE,100
337,04-01-2017,Alejandra Lapworth,Shampoo,Munroe Cumes,1138,55,5,STYLE,100
338,04-01-2017,Florella Van den Broek,Color full color,Dayle Pfeffle,1023,56,1,COLOR,200
339,04-01-2017,Allx Ogborn,Shaving,Dayle Pfeffle,1099,56,6,STYLE,100
340,04-01-2017,Leanor McAuslene,Shaving,Cloris Dudeney,1080,57,6,STYLE,100
341,04-02-2017,Ara Maykin,Hair Cut,Dayle Pfeffle,1161,56,3,STYLE,100
342,04-02-2017,Diann Leedes,Color full color,Jackie Leggate,1076,52,1,COLOR,200
343,04-02-2017,Gregor Tolley,Hair Cut,June Pynn,1039,53,3,STYLE,100
344,04-02-2017,Theda Wanderschek,Color full color,Cristine Bosman,1065,51,1,COLOR,200
345,04-02-2017,Audrie Quickfall,Hair Spa,June Pynn,1169,53,4,STYLE,200
346,04-03-2017,Ewen McCaskell,Shaving,Dayle Pfeffle,1018,56,6,STYLE,100
347,04-03-2017,Carol-jean Blacker,Hair Cut,Cristine Bosman,1057,51,3,STYLE,100
348,04-04-2017,Umberto Gotecliffe,Color full color,Dayle Pfeffle,1147,56,1,COLOR,200
349,04-04-2017,Hamnet Sacase,Blowdry + style,June Pynn,1071,53,2,STYLE,50
350,04-04-2017,Bevon De Carolis,Blowdry + style,Cloris Dudeney,1144,57,2,STYLE,50
351,04-05-2017,Walliw Monelli,Blowdry + style,Dayle Pfeffle,1111,56,2,STYLE,50
352,04-06-2017,Shayna Borrowman,Hair Spa,Munroe Cumes,1148,55,4,STYLE,200
353,04-07-2017,Josi Masser,Shaving,Munroe Cumes,1048,55,6,STYLE,100
354,04-07-2017,Adamo Prudence,Shaving,Munroe Cumes,1085,55,6,STYLE,100
355,04-08-2017,Allx Ogborn,Hair Spa,Ralina Pollicatt,1099,54,4,STYLE,200
356,04-08-2017,Nathanael Grigoliis,Hair Spa,Dayle Pfeffle,1136,56,4,STYLE,200
357,04-09-2017,Benjy Bewley,Color full color,Jackie Leggate,1068,52,1,COLOR,200
358,04-10-2017,Sylvia Yersin,Hair Cut,Jackie Leggate,1168,52,3,STYLE,100
359,04-10-2017,Theda Wanderschek,Color full color,June Pynn,1065,53,1,COLOR,200
360,04-10-2017,Holden Ventum,Color full color,June Pynn,1112,53,1,COLOR,200
361,04-10-2017,Aurthur Bavridge,Blowdry + style,Jackie Leggate,1098,52,2,STYLE,50
362,04-11-2017,Ted Boshere,Shampoo,Jackie Leggate,1064,52,5,STYLE,100
363,04-11-2017,Gerta Willmetts,Shampoo,Munroe Cumes,1158,55,5,STYLE,100
364,04-11-2017,Bevon Bohl,Shaving,Munroe Cumes,1096,55,6,STYLE,100
365,04-11-2017,Rebecka Iddins,Color full color,Cristine Bosman,1074,51,1,COLOR,200
366,04-11-2017,Alisun Mityashin,Blowdry + style,Cloris Dudeney,1055,57,2,STYLE,50
367,04-12-2017,Hamnet Sacase,Hair Cut,Dayle Pfeffle,1071,56,3,STYLE,100
368,04-12-2017,Dale Jonk,Blowdry + style,Cristine Bosman,1079,51,2,STYLE,50
369,4/13/2017,Starlene Rubinshtein,Shampoo,Cristine Bosman,1040,51,5,STYLE,100
370,4/13/2017,Rubie Kremer,Color full color,Dayle Pfeffle,1160,56,1,COLOR,200
371,4/15/2017,Lucilia Morkham,Shaving,Cristine Bosman,1030,51,6,STYLE,100
372,4/15/2017,Meyer Ellcock,Shaving,June Pynn,1162,53,6,STYLE,100
373,4/15/2017,Sylvia Yersin,Shaving,Jackie Leggate,1168,52,6,STYLE,100
374,4/15/2017,Drusy Saurat,Hair Spa,Cloris Dudeney,1118,57,4,STYLE,200
375,4/15/2017,Meir Corbyn,Shampoo,Munroe Cumes,1047,55,5,STYLE,100
376,4/15/2017,Sarette Graser,Color full color,Dayle Pfeffle,1131,56,1,COLOR,200
377,4/16/2017,Benton Isacq,Blowdry + style,Cristine Bosman,1002,51,2,STYLE,50
378,4/17/2017,King Harsent,Color full color,Jackie Leggate,1157,52,1,COLOR,200
379,4/17/2017,Marty Creighton,Hair Cut,Jackie Leggate,1028,52,3,STYLE,100
380,4/18/2017,Umberto Gotecliffe,Shampoo,Munroe Cumes,1147,55,5,STYLE,100
381,4/18/2017,Tommi Minett,Hair Cut,June Pynn,1087,53,3,STYLE,100
382,4/18/2017,Winn Dongles,Shaving,Jackie Leggate,1152,52,6,STYLE,100
383,4/18/2017,Tobe Elstub,Hair Spa,Cloris Dudeney,1007,57,4,STYLE,200
384,4/19/2017,Laney Pontain,Shaving,Munroe Cumes,1124,55,6,STYLE,100
385,4/20/2017,Ted Boshere,Shaving,Munroe Cumes,1064,55,6,STYLE,100
386,4/21/2017,Haleigh Mainland,Hair Cut,Ralina Pollicatt,1151,54,3,STYLE,100
387,4/21/2017,Alejandra Lapworth,Hair Cut,Cloris Dudeney,1138,57,3,STYLE,100
388,4/21/2017,Trueman Eiler,Shaving,Cristine Bosman,1024,51,6,STYLE,100
389,4/22/2017,Winn Dongles,Hair Cut,Munroe Cumes,1152,55,3,STYLE,100
390,4/23/2017,Tammi Covolini,Hair Spa,Dayle Pfeffle,1060,56,4,STYLE,200
